3621 20998
701 716 0.0625
2518 2519 0.0625
2914 153 0.0625
115 279 0.0625
218 3045 0.0625
207 2229 0.0625
877 154 0.0625
376 2532 0.0625
1125 2659 0.0625
40 310 0.0625
376 2531 0.0625
2384 64 0.0625
420 1477 0.0625
228 716 0.0625
40 318 0.0625
1 1501 0.0625
1425 325 0.125
931 1189 0.0625
610 2071 0.0625
460 3430 0.0625
52 787 0.0625
1344 421 0.0625
1568 2217 0.0625
103 1210 0.0625
889 890 0.125
1219 1218 0.0625
1711 505 0.0625
27 711 0.0625
3319 3320 0.0625
3473 124 0.0625
1878 360 0.0625
686 1877 0.0625
421 1529 0.0625
728 3516 0.0625
631 1749 0.0625
807 1235 0.0625
234 1506 0.0625
234 1505 0.0625
42 1496 0.0625
42 1498 0.0625
2655 2644 0.125
151 952 0.125
897 2357 0.125
2740 50 0.0625
2157 2158 0.0625
687 688 0.0625
702 218 0.0625
1172 553 0.0625
829 827 0.0625
116 503 0.125
1459 139 0.0625
829 828 0.0625
2941 500 0.0625
495 493 0.0625
587 572 0.0625
201 1694 0.0625
703 591 0.0625
443 257 0.0625
655 263 0.125
1549 1548 0.0625
2142 505 0.0625
164 202 0.0625
1135 646 0.125
3576 316 0.0625
234 778 0.0625
2855 2854 0.0625
3305 3302 0.0625
0 505 0.0625
546 2947 0.0625
360 38 0.0625
825 539 0.0625
217 476 0.0625
2511 420 0.0625
1302 1303 0.0625
93 1655 0.0625
392 3580 0.0625
878 2251 0.0625
652 2547 0.0625
3309 155 0.0625
470 469 0.0625
542 2190 0.0625
1297 2710 0.0625
226 753 0.0625
226 752 0.3125
125 2606 0.125
224 225 0.125
130 2589 0.0625
1559 360 0.0625
526 1226 0.0625
226 204 0.0625
1923 1922 0.0625
226 973 0.0625
404 310 0.0625
276 316 0.1875
1341 1376 0.1875
276 314 0.1875
276 315 0.0625
276 312 0.0625
276 313 0.0625
2349 2672 0.0625
276 311 0.0625
2082 430 0.0625
1811 2529 0.125
2082 435 0.0625
375 395 0.1875
1110 2675 0.0625
1738 421 0.0625
96 484 0.0625
346 154 0.125
503 116 0.125
503 115 0.0625
503 114 0.0625
58 971 0.0625
1294 3567 0.0625
3583 264 0.0625
745 2714 0.0625
2693 2694 0.0625
2758 131 0.0625
326 327 0.125
948 2688 0.0625
1707 700 0.0625
1730 732 0.0625
484 706 0.0625
326 894 0.0625
1160 1161 0.0625
1137 2102 0.0625
458 1927 0.0625
310 309 0.0625
424 530 0.0625
2482 238 0.0625
2317 2200 0.0625
756 169 0.0625
127 482 0.0625
198 2899 0.0625
2268 346 0.0625
1336 77 0.1875
3511 1409 0.0625
996 652 0.0625
1052 436 0.0625
198 427 0.0625
737 427 0.0625
2288 637 0.0625
119 504 0.125
924 2373 0.0625
364 626 0.0625
1198 927 0.0625
121 226 0.0625
1125 2660 0.0625
2273 1210 0.0625
983 50 0.0625
3530 2972 0.0625
45 1989 0.0625
36 2184 0.0625
1359 1893 0.0625
2157 2156 0.0625
260 121 0.3125
330 314 0.0625
652 505 0.0625
101 1927 0.0625
567 202 0.0625
260 128 0.4375
567 204 0.0625
77 1246 0.0625
129 776 0.1875
2157 1541 0.0625
119 2704 0.0625
830 564 0.0625
1070 77 0.125
1589 744 0.125
2867 1976 0.0625
1458 2997 0.0625
2431 3447 0.0625
2220 2221 0.0625
3490 371 0.0625
2220 2223 0.0625
713 744 0.0625
571 1197 0.0625
298 299 0.0625
2645 371 0.0625
2928 957 0.0625
201 2445 0.0625
836 541 0.0625
2322 2098 0.0625
298 297 0.0625
2763 12 0.0625
2040 1357 0.0625
3489 3488 0.0625
2139 154 0.0625
609 2071 0.0625
1327 430 0.125
722 86 0.125
1535 1341 0.0625
951 580 0.125
2736 2735 0.0625
951 582 0.125
1845 620 0.0625
1988 1341 0.0625
2588 1640 0.0625
2568 269 0.0625
3348 3349 0.0625
231 805 0.0625
716 1465 0.0625
1349 1913 0.125
1831 1210 0.0625
492 260 0.0625
1989 701 0.0625
1672 454 0.0625
1672 456 0.0625
2813 2812 0.0625
2674 2527 0.0625
655 715 0.375
1280 207 0.125
125 1877 0.25
568 3062 0.0625
170 1267 0.0625
242 427 0.3125
2842 1681 0.0625
36 694 0.4375
36 167 0.0625
207 1861 0.0625
332 1111 0.0625
1740 3147 0.0625
2055 234 0.0625
506 505 0.25
162 227 0.125
680 1593 0.0625
1133 1069 0.0625
3043 980 0.125
125 139 0.0625
1345 1344 0.0625
3102 970 0.0625
17 312 0.0625
902 1396 0.25
529 3490 0.0625
1521 369 0.0625
456 130 0.125
960 168 0.0625
952 99 0.125
2475 498 0.0625
45 645 0.0625
1666 1052 0.0625
140 3431 0.0625
624 137 0.0625
2834 491 0.0625
312 276 0.0625
686 2418 0.0625
563 375 0.125
867 642 0.0625
818 1306 0.0625
1910 2378 0.0625
1347 756 0.125
287 161 0.0625
864 181 0.0625
325 2070 0.0625
1343 1342 0.0625
865 111 0.125
85 345 0.1875
371 370 0.0625
2302 260 0.0625
1617 719 0.125
454 325 0.0625
140 234 0.0625
3333 3332 0.0625
2652 787 0.125
257 443 0.0625
928 744 0.0625
310 540 0.0625
2269 1988 0.0625
160 620 0.0625
483 481 0.0625
483 482 0.0625
2819 2120 0.125
1202 1341 0.1875
1707 1710 0.0625
2559 728 0.0625
1070 106 0.0625
1516 981 0.0625
316 818 0.1875
703 2431 0.0625
1306 117 0.1875
952 1420 0.0625
346 1456 0.0625
37 425 0.125
1344 1179 0.0625
1113 152 0.0625
346 716 0.0625
161 1194 0.0625
878 2368 0.0625
2087 1490 0.0625
519 716 0.1875
452 1893 0.0625
1366 330 0.0625
3090 980 0.0625
99 98 0.0625
3399 3398 0.0625
1057 22 0.0625
2735 27 0.0625
799 446 0.0625
800 2350 0.0625
44 201 0.0625
1049 1048 0.0625
